[43.9        44.73970032]
[45.7        46.00226974]
[46.3        46.68740082]
[46.5        47.82928085]
[53.6        54.45330811]
[53.9        54.36351395]
[56.         54.86981964]
[59.         54.58901596]
[56.7        54.52731323]
[56.1        54.43209457]

[45.9        45.01897812]
[46.4        46.77231598]
[49.7        51.03668594]
[53.1        52.90865326]
[54.6        53.94470215]
[53.         54.51452255]
[56.6        54.68456268]

[48.9        44.95613861]
[45.1        44.95613861]
[48.5        45.83280182]
[47.9        45.83280182]
[53.2        49.09251785]
[57.4        54.16081238]
[57.5        53.89997864]
[59.3       54.0710144]

[46.6        42.69290543]
[48.3        43.56957245]
[48.         44.44624329]
[54.2        47.07624817]
[56.4        51.37698364]
[57.7        51.62877655]
[58.6        52.10812378]
[50.1        46.37513733]
[50.4        47.40730286]
[46.6        52.65526581]

[39.4        43.03362656]
[42.9        45.66362381]
[45.6        47.87326813]
[44.         47.87326813]
[46.2        50.11413574]
[52.7        54.60089874]
[50.4        55.41730118]
[51.2        56.07001114]
[52.7        55.88261414]
[56.         55.38552856]
[57.1        54.47655487]
[59.2        54.47655487]

[45.9        44.80090332]
[45.         44.97623444]
[46.         45.15156937]
[49.3        49.25650787]
[51.         49.89873886]
[53.6        53.93863678]
[54.8       55.3747139]
[54.7        54.80291748]

[46.         44.07109833]
[48.9        44.42176056]
[46.5        44.42176056]
[45.6        44.77243042]
[49.8        46.52576447]
[55.1       49.7177124]
[54.1        52.45822906]
[57.         55.06735992]
[59.6        54.97148132]

[44.4        43.53370285]
[41.9        43.53370285]
[46.9        44.05970001]
[49.4        46.73838043]
[59.3       52.7731514]
[54.2       52.7731514]

[43.4        43.59440613]
[43.4        44.47106934]
[43.8        43.77290344]
[49.4        47.27957535]
[52.1        51.17874146]
[56.3        54.44501495]
[58.7        54.63067627]

[44.7        45.29992294]
[44.9        46.16449356]
[45.1        47.07799911]
[43.2        46.48985291]
[49.1        52.19926453]
[51.1        54.06898499]

[44.2        43.63925934]
[48.2        44.16526031]
[46.9        44.16526031]
[51.2        46.26926041]
[57.7        51.04285049]
[54.2        51.81647491]
[60.3        53.86448288]

[43.2       42.4980011]
[47.9        44.95266724]
[48.8        44.95266724]
[47.5        46.70600128]
[50.6        47.71702576]
[58.         51.78300476]
[56.6        52.02267456]

[41.3        42.83961487]
[44.3        44.59294891]
[45.3        44.59458923]
[49.2        48.01359177]
[51.2        51.00721741]
[53.6        51.97553253]
[51.3        51.97553253]
[55.2        54.55861664]
[52.1        54.85492706]
[53.1        53.61927032]
[53.3        53.61927032]
[56.2        54.86252594]
[55.8        54.86252594]
[54.         54.86252594]
[57.6       55.7043457]

[42.8        43.67648315]
[46.6        47.65565491]
[47.1        49.93941879]
[51.9        53.68304443]
[54.6        55.01306915]
[56.1        56.33081055]
[55.4        56.56398773]

[45.5        44.20172119]
[42.4        44.37705231]
[45.6        44.90305328]
[51.9        49.80833435]
[54.2        53.64783859]
[57.5        54.34452438]
[57.3        55.06976318]
[57.8        54.73740387]

[42.3        42.88573456]
[45.1        43.76239777]
[44.3        43.76239777]
[44.9        44.63906479]
[50.2        46.39239883]
[52.8        48.54653549]
[55.5        47.81850815]
[57.4        50.33065033]
[53.3        48.50363922]
[53.1        49.18876648]
[52.7        48.18414307]
[56.4        50.55902863]
[56.1        50.55902863]
[54.8        50.55902863]
[53.9        50.55902863]
[56.         51.24415588]

[46.7        45.83305359]
[46.3        45.83305359]
[46.3        46.06142807]
[46.8        46.06142807]
[52.3        51.63944244]
[54.5        55.50234985]
[56.8        56.46600342]
[57.         55.77789688]

[42.5        44.78623199]
[44.7        46.10123444]
[43.6       47.1984787]
[45.7       46.6257019]
[52.1        53.91762161]
[52.2        54.83887482]
[55.1        54.69681549]
[56.9        54.62279892]
[55.1        54.62279892]

Mean Error: 2.2792
95% Confidence Interval: [-0.2225, 4.7809]

