[43.9        44.91703415]
[45.7        46.59059525]
[46.3        47.04404068]
[46.5        47.75592804]
[53.6        53.74285507]
[53.9        54.39413071]
[56.         56.35313797]
[59.        55.8940239]
[56.7        55.63367462]
[56.1        55.58470154]

[45.9        47.32239151]
[46.4        49.20328903]
[49.7        53.58097076]
[53.1        56.10917282]
[54.6        57.22866058]
[53.         57.68319321]
[56.6       57.9871788]

[48.9        43.89257431]
[45.1        43.89257431]
[48.5        44.60445786]
[47.9        44.60445786]
[53.2        47.23606491]
[57.4        51.95533752]
[57.5        51.84714508]
[59.3        52.60661316]

[46.6        43.13393021]
[48.3        44.32933044]
[48.         45.25689316]
[54.2        47.67663956]
[56.4        52.18557358]
[57.7        53.93929672]
[58.6        54.49903488]
[50.1        47.52994537]
[50.4        48.70718002]
[46.6       54.5490303]

[39.4        42.14023209]
[42.9        45.72549438]
[45.6        47.57017517]
[44.         47.57017517]
[46.2       49.5141716]
[52.7        53.66905594]
[50.4       54.5512085]
[51.2       55.2564888]
[52.7        55.12174225]
[56.         55.03358459]
[57.1        56.04281998]
[59.2        56.04281998]

[45.9       45.4662056]
[45.         45.70528793]
[46.         45.94436646]
[49.3        49.65050125]
[51.         50.14762497]
[53.6        53.97196579]
[54.8        56.43211365]
[54.7        56.64492416]

[46.         44.69679642]
[48.9        45.17496109]
[46.5        45.17496109]
[45.6        45.65311813]
[49.8        48.04392242]
[55.1        51.49826813]
[54.1        54.65831375]
[57.         57.06440353]
[59.6        56.74619675]

[44.4        43.93188858]
[41.9        43.93188858]
[46.9        44.64818954]
[49.4        48.23439026]
[59.3        54.85935211]
[54.2        54.85935211]

[43.4       44.0372963]
[43.4       45.2317543]
[43.8        44.51134872]
[49.4        49.29294968]
[52.1        53.33625412]
[56.3        56.50053024]
[58.7        57.18961716]

[44.7        44.04608536]
[44.9        44.61559677]
[45.1        45.18510056]
[43.2        44.53304291]
[49.1        49.87181473]
[51.1        52.10806274]

[44.2        44.36091232]
[48.2        45.07721329]
[46.9        45.07721329]
[51.2        47.94617844]
[57.7        53.62556839]
[54.2        54.44360733]
[60.3        56.24357224]

[43.2        42.73836136]
[47.9        46.08548355]
[48.8        46.08548355]
[47.5       47.9009819]
[50.6        49.55273056]
[58.         54.73649979]
[56.6        55.01636887]

[41.3        43.86011887]
[44.3        46.24517822]
[45.3        46.58568954]
[49.2      51.317276]
[51.2        54.30669785]
[53.6        55.26259232]
[51.3        55.26259232]
[55.2        57.44459152]
[52.1        57.49901199]
[53.1        57.60814667]
[53.3        57.60814667]
[56.2       58.0948143]
[55.8       58.0948143]
[54.        58.0948143]
[57.6        58.19695663]

[42.8        44.21233749]
[46.6        47.61322784]
[47.1        49.73643875]
[51.9        52.90754318]
[54.6       54.3446846]
[56.1        55.60899353]
[55.4       55.5722847]

[45.5       44.4133873]
[42.4        44.65246964]
[45.6        45.36970901]
[51.9       50.3357811]
[54.2        53.98916245]
[57.5        54.54219818]
[57.3     55.32584]
[57.8        55.83723831]

[42.3        43.29071426]
[45.1       44.4813118]
[44.3       44.4813118]
[44.9        45.67577362]
[50.2        48.06657028]
[52.8        50.45737839]
[55.5        50.22532272]
[57.4        53.12203217]
[53.3        51.01533508]
[53.1        51.80534744]
[52.7        51.52602768]
[56.4        53.38537216]
[56.1        53.38537216]
[54.8        53.38537216]
[53.9        53.38537216]
[56.         54.17538071]

[46.7        45.72198486]
[46.3        45.72198486]
[46.3        45.86436081]
[46.8        45.86436081]
[52.3        50.58662796]
[54.5        54.17401123]
[56.8        55.20556641]
[57.         54.61140823]

[42.5        45.01848221]
[44.7        46.12922287]
[43.6        46.84111023]
[45.7       46.1867218]
[52.1        52.89942932]
[52.2        54.69111252]
[55.1        55.80508804]
[56.9        55.07300949]
[55.1        55.07300949]

Mean Error: 1.9397
95% Confidence Interval: [-0.2486, 4.1280]

