[43.9        43.92640686]
[45.7        45.51964188]
[46.3        46.17482758]
[46.5        47.26680756]
[53.6        54.43426514]
[53.9       55.6554985]
[56.         56.77590942]
[59.         57.76261902]
[56.7        58.05812454]
[56.1        58.28990173]

[45.9        48.05360413]
[46.4        50.23755264]
[49.7        54.60545731]
[53.1        57.23096466]
[54.6        58.22437286]
[53.         58.64501953]
[56.6       59.0662384]

[48.9        46.06113815]
[45.1        45.83089066]
[48.5        46.92286682]
[47.9        46.92286682]
[53.2       50.5814743]
[57.4        55.21059036]
[57.5        55.86886215]
[59.3        56.42277527]

[46.6       43.8614769]
[48.3        44.95345306]
[48.         46.04542923]
[54.2        49.32135773]
[56.4        53.76734924]
[57.7        54.61487579]
[58.6        55.11651611]
[50.1       48.7343483]
[50.4        49.97368622]
[46.6        55.34118271]

[39.4        40.79148865]
[42.9        44.06741333]
[45.6        46.25136566]
[44.         46.25136566]
[46.2        49.49990845]
[52.7        53.36794662]
[50.4        54.07023239]
[51.2        54.67838287]
[52.7        55.64083481]
[56.         56.48217392]
[57.1        56.19094849]
[59.2        56.24742889]

[45.9        45.71905136]
[45.         45.93744659]
[46.         46.15583801]
[49.3        50.30535126]
[51.         51.95396042]
[53.6        56.81476593]
[54.8        58.85725403]
[54.7        59.26828003]

[46.        45.3686409]
[48.9        45.73030472]
[46.5        45.73030472]
[45.6        46.16709518]
[49.8        48.35104752]
[55.1       51.3993187]
[54.1        54.02005768]
[57.         56.81136703]
[59.6        57.00292969]

[44.4        44.87497711]
[41.9        44.87497711]
[46.9        45.53016281]
[49.4        48.80609131]
[59.3        55.09511185]
[54.2        55.09511185]

[43.4       44.3489151]
[43.4        45.44088745]
[43.8        45.34233856]
[49.4        49.71024323]
[52.1        53.98295975]
[56.3        56.94412994]
[58.7        58.55359268]

[44.7        44.79495239]
[44.9        45.61764526]
[45.1       46.4912262]
[43.2        46.44678116]
[49.1        51.90666199]
[51.1        55.70962524]

[44.2        45.20709991]
[48.2       45.8622818]
[46.9       45.8622818]
[51.2       48.4830246]
[57.7        53.68007278]
[54.2        55.01191711]
[60.3        57.78781128]

[43.2        41.13813019]
[47.9        44.19566345]
[48.8        44.19566345]
[47.5        46.37961578]
[50.6        48.27172089]
[58.         52.13262177]
[56.6        52.63739014]

[41.3       42.2742424]
[44.3        44.39326477]
[45.3        45.50989914]
[49.2        49.76860428]
[51.2        52.50249481]
[53.6       53.7959137]
[51.3        53.45103073]
[55.2        54.90129089]
[52.1        55.19953156]
[53.1        55.29022598]
[53.3        54.97937012]
[56.2        56.15458679]
[55.8        56.25881958]
[54.         55.65725708]
[57.6        56.33453369]

[42.8        42.22130203]
[46.6        46.57853317]
[47.1        48.76248932]
[51.9       53.7146225]
[54.6        54.99217987]
[56.1        56.11781693]
[55.4        56.32563782]

[45.5        44.56723785]
[42.4        44.78563309]
[45.6        45.44081879]
[51.9        50.46390533]
[54.2        55.04336548]
[57.5        56.24176025]
[57.3        57.13206482]
[57.8        57.27692032]

[42.3        45.12514114]
[45.1        46.15219498]
[44.3        46.15219498]
[44.9        47.27365112]
[50.2        49.45760727]
[52.8        51.71734619]
[55.5        52.09632111]
[57.4        54.47924805]
[53.3        53.24409485]
[53.1        53.49317169]
[52.7        53.64020538]
[56.4        54.80353928]
[56.1        54.78401947]
[54.8        54.83026886]
[53.9        54.88306427]
[56.        55.5372467]

[46.7        44.88298416]
[46.3        44.82678223]
[46.3        45.04517746]
[46.8        45.04517746]
[52.3        50.89740753]
[54.5        54.41138458]
[56.8        55.79541779]
[57.         55.85921097]

[42.5        42.35112762]
[44.7        43.98908997]
[43.6        45.08106613]
[45.7        45.07049942]
[52.1        51.80319214]
[52.2        53.52826309]
[55.1        54.84949493]
[56.9        55.70708466]
[55.1        55.66641617]

Mean Error: 1.7699
95% Confidence Interval: [-0.0260, 3.5659]

