[43.9     44.76194]
[45.7        46.28055954]
[46.3       46.9314003]
[46.5        48.01613235]
[53.6        54.24705887]
[53.9        55.12478256]
[56.         56.84672928]
[59.         56.69042587]
[56.7        56.61135483]
[56.1        56.61507034]

[45.9        46.13016129]
[46.4        48.29962158]
[49.7        52.63853836]
[53.1       55.3674469]
[54.6        56.37530899]
[53.         56.92963791]
[56.6        57.33366013]

[48.9        44.48806763]
[45.1        44.48806763]
[48.5        45.53224564]
[47.9        45.53224564]
[53.2        48.59583282]
[57.4        52.79563522]
[57.5        53.09716415]
[59.3        53.67335892]

[46.6        43.19760132]
[48.3        44.28232956]
[48.         45.36706161]
[54.2        48.62125015]
[56.4        52.96017075]
[57.7        54.39096451]
[58.6        54.89489365]
[50.1        48.34756088]
[50.4        49.49895096]
[46.6        54.99345779]

[39.4        42.12761688]
[42.9        45.38180923]
[45.6        47.55126572]
[44.         47.55126572]
[46.2        50.03660583]
[52.7        53.74314117]
[50.4        54.53733444]
[51.2        55.17228699]
[52.7        56.09961319]
[56.         55.95708847]
[57.1        56.38468552]
[59.2        56.38468552]

[45.9        45.30093765]
[45.         45.51787949]
[46.         45.73482895]
[49.3        49.75767136]
[51.         50.74121857]
[53.6        54.54415512]
[54.8       56.8975029]
[54.7        56.93026352]

[46.         45.66126633]
[48.9        46.09515762]
[46.5        46.09515762]
[45.6        46.52904892]
[49.8        48.69850922]
[55.1        51.73575211]
[54.1        54.28992844]
[57.         56.70132065]
[59.6        56.70101547]

[44.4       44.9738884]
[41.9       44.9738884]
[46.9        45.62472534]
[49.4        48.87891388]
[59.3        54.90985489]
[54.2        54.90985489]

[43.4        45.46429825]
[43.4       46.5490303]
[43.8        46.02328873]
[49.4        50.36220932]
[52.1        54.29789734]
[56.3       57.2154808]
[58.7        58.04446411]

[44.7        44.30594635]
[44.9        45.15961838]
[45.1        45.95169449]
[43.2        45.65382004]
[49.1        50.60429764]
[51.1        53.20087814]

[44.2        45.55436325]
[48.2        46.20520401]
[46.9        46.20520401]
[51.2       48.8085556]
[57.7        53.75476456]
[54.2        54.65824509]
[60.3        56.66834641]

[43.2        43.53331375]
[47.9        46.57056046]
[48.8        46.57056046]
[47.5        48.74001694]
[50.6        50.50407028]
[58.         55.05473328]
[56.6        55.30669785]

[41.3        44.18748093]
[44.3        46.35694504]
[45.3        46.86763763]
[49.2       51.0980835]
[51.2        53.97478867]
[53.6        54.89464188]
[51.3        54.89464188]
[55.2        57.17303085]
[52.1        57.46127701]
[53.1        57.18522644]
[53.3        57.18522644]
[56.2        58.39466476]
[55.8        58.39466476]
[54.         58.39466476]
[57.6        59.21707535]

[42.8        42.71891403]
[46.6        46.86405563]
[47.1        48.84424973]
[51.9        52.53671646]
[54.6        53.83055878]
[56.1        55.12767792]
[55.4        55.25676727]

[45.5        44.46076584]
[42.4        44.67770767]
[45.6        45.32854843]
[51.9        50.31830597]
[54.2       54.5653801]
[57.5        55.54829407]
[57.3        56.25379944]
[57.8        56.57885361]

[42.3        44.46907425]
[45.1       45.5538063]
[44.3       45.5538063]
[44.9        46.63853836]
[50.2        48.80799484]
[52.8        50.97745895]
[55.5        50.88560867]
[57.4        53.27201462]
[53.3       51.5364418]
[53.1        52.18728256]
[52.7        51.98411179]
[56.4        53.48896027]
[56.1        53.48896027]
[54.8        53.48896027]
[53.9        53.48896027]
[56.         54.13979721]

[46.7        45.33867264]
[46.3        45.33867264]
[46.3        45.55561447]
[46.8        45.55561447]
[52.3        50.80643845]
[54.5        54.02680588]
[56.8        55.24191666]
[57.         55.15945053]

[42.5        44.79719925]
[44.7        46.42429352]
[43.6        47.50902557]
[45.7        47.24377823]
[52.1        53.74912643]
[52.2        55.33275986]
[55.1        56.42641068]
[56.9        56.18547058]
[55.1        56.18547058]

Mean Error: 1.8354
95% Confidence Interval: [0.1097, 3.5610]

