[43.9        44.67040253]
[45.7        45.82402802]
[46.3        46.71315384]
[46.5        47.76662445]
[53.6        53.31673431]
[53.9        55.05116653]
[56.        57.4899025]
[59.         57.37405014]
[56.7       57.1566391]
[56.1        56.83079529]

[45.9        45.52548981]
[46.4        47.12049103]
[49.7        51.70581436]
[53.1        53.37793732]
[54.6        55.41487122]
[53.         55.84990311]
[56.6        56.42883301]

[48.9        45.37635803]
[45.1       45.6102066]
[48.5        46.11375427]
[47.9        46.89359283]
[53.2        49.05103302]
[57.4        53.22451401]
[57.5        54.24430084]
[59.3        55.27883148]

[46.6       43.2414093]
[48.3       44.3988266]
[48.         45.50623322]
[54.2        47.83137512]
[56.4        52.98867798]
[57.7        56.14293289]
[58.6        57.34064865]
[50.1        51.38592529]
[50.4        52.10577393]
[46.6        56.94903564]

[39.4       42.0088501]
[42.9        45.16849518]
[45.6        46.41556549]
[44.        46.8600235]
[46.2        50.52138519]
[52.7        54.65657806]
[50.4        56.05114746]
[51.2        56.67129135]
[52.7        56.50076675]
[56.         56.16168594]
[57.1        56.04800415]
[59.2        55.71918488]

[45.9        45.86523819]
[45.         46.22263336]
[46.         47.07173157]
[49.3        49.79165649]
[51.         51.57025528]
[53.6        54.24268341]
[54.8        57.75726318]
[54.7        57.76437378]

[46.         45.05279922]
[48.9        46.04483414]
[46.5       46.4253273]
[45.6       47.0060997]
[49.8        49.27190399]
[55.1        53.37574005]
[54.1        56.07830429]
[57.        57.6076889]
[59.6        57.81305695]

[44.4        44.39680862]
[41.9        44.73298645]
[46.9       45.8467865]
[49.4        49.36930084]
[59.3        56.55979538]
[54.2        57.23229599]

[43.4        45.43202972]
[43.4        46.75481415]
[43.8        46.78597641]
[49.4        50.36838531]
[52.1        54.80174637]
[56.3        56.71208954]
[58.7        58.57242584]

[44.7        43.43540192]
[44.9        44.27287292]
[45.1        44.74440765]
[43.2        44.91842651]
[49.1        50.58958435]
[51.1        53.96899414]

[44.2        45.35113907]
[48.2        45.98371506]
[46.9       46.3578949]
[51.2        48.63628387]
[57.7        54.80876541]
[54.2        56.23340988]
[60.3        56.26596451]

[43.2        43.12711334]
[47.9        45.39176178]
[48.8        45.78388214]
[47.5        47.47561264]
[50.6        50.26980209]
[58.        55.8042984]
[56.6        56.74828339]

[41.3        43.54863739]
[44.3        45.67922974]
[45.3        45.97530746]
[49.2        49.52383804]
[51.2        53.91508484]
[53.6        56.13916779]
[51.3        56.60707092]
[55.2       58.5810051]
[52.1        58.97364807]
[53.1        57.43843079]
[53.3        57.18334198]
[56.2        57.79268646]
[55.8        57.46147156]
[54.         57.14510345]
[57.6        57.28931046]

[42.8        42.50608063]
[46.6        45.54728699]
[47.1        48.41242218]
[51.9        50.12051392]
[54.6        52.43983841]
[56.1       53.6960907]
[55.4        54.36878967]

[45.5       44.6348877]
[42.4      45.039608]
[45.6        46.13196945]
[51.9        50.93228912]
[54.2        54.90086365]
[57.5        56.28039551]
[57.3        57.48295593]
[57.8        58.28601837]

[42.3        43.48989105]
[45.1        44.80197906]
[44.3        45.16413116]
[44.9        46.53672791]
[50.2        49.08720016]
[52.8        51.89624786]
[55.5        52.13321686]
[57.4        55.60545349]
[53.3        52.01885223]
[53.1        52.60503387]
[52.7        51.98194504]
[56.4        54.33783722]
[56.1        54.04899597]
[54.8        53.75966263]
[53.9        53.47310638]
[56.         53.33417511]

[46.7        45.05104828]
[46.3        45.29348755]
[46.3        46.04821014]
[46.8        46.43736267]
[52.3        50.93766403]
[54.5        54.43288422]
[56.8        55.65568161]
[57.         55.38994598]

[42.5        44.07092285]
[44.7       45.5698967]
[43.6        46.54103851]
[45.7        46.64570618]
[52.1        52.00962067]
[52.2        55.07472229]
[55.1        56.93320084]
[56.9       56.3923912]
[55.1        56.21408844]

Mean Error: 1.7079
95% Confidence Interval: [0.1439, 3.2719]

