[43.9        44.78677368]
[45.7        46.07008362]
[46.3        47.21187592]
[46.5        48.66298294]
[53.6        53.94548035]
[53.9        55.88956833]
[56.         57.24799728]
[59.         57.50315857]
[56.7        57.57973099]
[56.1        57.43790817]

[45.9        45.52370453]
[46.4        47.41790009]
[49.7       51.2572937]
[53.1        52.99507141]
[54.6        56.28099442]
[53.         56.95288086]
[56.6        57.31490326]

[48.9        44.88414764]
[45.1        45.16696548]
[48.5        45.84547043]
[47.9        46.92660904]
[53.2        49.37527847]
[57.4        53.49085236]
[57.5        54.69303894]
[59.3        55.42685699]

[46.6        43.47894669]
[48.3        44.59204483]
[48.         45.77573776]
[54.2        48.73286438]
[56.4        52.89352417]
[57.7        54.91385651]
[58.6        55.99627686]
[50.1        50.74069977]
[50.4        51.90106964]
[46.6        56.54959869]

[39.4        41.70388031]
[42.9        44.80208206]
[45.6        46.23474884]
[44.         46.89284515]
[46.2        49.81166077]
[52.7        53.24352264]
[50.4        54.58953094]
[51.2        55.62193298]
[52.7        56.26319504]
[56.         56.27239227]
[57.1        55.89904785]
[59.2        55.94394684]

[45.9        45.30833817]
[45.         45.76463318]
[46.        46.7472496]
[49.3        49.82811737]
[51.         51.30802917]
[53.6       54.7298851]
[54.8        56.98920441]
[54.7        57.58084869]

[46.         44.48020554]
[48.9        45.48679352]
[46.5        45.95238876]
[45.6        46.72438812]
[49.8        48.95358276]
[55.1       52.2978363]
[54.1        54.04487228]
[57.         55.94533157]
[59.6        56.47940826]

[44.4        44.68595123]
[41.9        45.13539505]
[46.9        46.27308655]
[49.4        49.31201935]
[59.3        54.68946838]
[54.2        55.27004242]

[43.4        44.54397202]
[43.4        45.73585129]
[43.8        46.13256073]
[49.4        49.47434235]
[52.1       52.9655838]
[56.3        56.67967987]
[58.7        57.79797745]

[44.7        44.29362488]
[44.9        45.37695312]
[45.1        46.00497818]
[43.2        46.57787704]
[49.1        50.31290436]
[51.1        53.65332794]

[44.2        45.79489136]
[48.2        46.39125824]
[46.9        46.86103058]
[51.2        49.26063919]
[57.7        53.95742798]
[54.2        55.38275909]
[60.3        57.04168701]

[43.2        42.53967285]
[47.9        44.57626343]
[48.8        45.04335785]
[47.5        47.26119232]
[50.6        49.36418915]
[58.         53.95683289]
[56.6        54.95516968]

[41.3        43.21518326]
[44.3        45.14807892]
[45.3        45.88092041]
[49.2        49.27670288]
[51.2        52.00959015]
[53.6        53.58876801]
[51.3        53.87965775]
[55.2        56.14224243]
[52.1        57.35162735]
[53.1        55.94166946]
[53.3        55.91230774]
[56.2        57.73505402]
[55.8        57.68456268]
[54.         57.35184479]
[57.6        57.87582397]

[42.8        41.56182861]
[46.6      44.772789]
[47.1        47.46470261]
[51.9        49.41994476]
[54.6        52.21842575]
[56.1        53.99968719]
[55.4        54.37950134]

[45.5       43.7950058]
[42.4        44.29087067]
[45.6        45.41290283]
[51.9        49.92643738]
[54.2        53.01951218]
[57.5        55.63214874]
[57.3        56.62340927]
[57.8        57.02254486]

[42.3        44.96918488]
[45.1        46.17926025]
[44.3        46.65320206]
[44.9       48.1951561]
[50.2        50.47406006]
[52.8       52.6923027]
[55.5        53.23991394]
[57.4        55.89672089]
[53.3        54.18306732]
[53.1       54.9479332]
[52.7        54.82791138]
[56.4        56.16469574]
[56.1        56.06476593]
[54.8        56.05066299]
[53.9        55.91022491]
[56.         55.84276581]

[46.7        44.73595428]
[46.3        45.09098816]
[46.3        46.10585785]
[46.8        46.72984314]
[52.3       50.8791275]
[54.5        54.62694931]
[56.8        56.00300217]
[57.         56.34629059]

[42.5        42.78838348]
[44.7        44.54091644]
[43.6        45.74961853]
[45.7        46.36595535]
[52.1        51.75152588]
[52.2        54.57440567]
[55.1       55.8638382]
[56.9        55.87674713]
[55.1       56.0188446]

Mean Error: 1.6719
95% Confidence Interval: [0.3286, 3.0152]

